state,early,pet,season,years,pizza
Colorado,night owl,Dog,Winter,24,Sausage
Wisconsin,early bird,Dog,Summer,1,Mushroom
NC,early bird,Fish,Summer,5,Chicken Bacon
Wisconsin,early bird,Dog,Spring,15,Spinach/Arugula
Wisconsin,no preference,Elephant,Fall,5,none (just cheese)
Wisconsin,early bird,Cat,Fall,1,Sausage
Colorado,no preference,Dog,Spring,1,Pepperoni
Wisconsin,night owl,Cat,Fall,,Pepperoni
Massachusetts,night owl,Dog,Summer,3.5,Pineapple
Wisconsin,early bird,Dog,Summer,5,Sausage
Wisconsin,night owl,Dog,Summer,5,Pineapple
Illinois,early bird,None,Spring,0.5,Pineapple
Wisconsin,night owl,Dog,Summer,8,Pepperoni
Ohio,early bird,Dog,Summer,6,Pepperoni
Massachusetts ,night owl,Dog,Fall,3,bell peppers and onion
MA,night owl,Cat,Spring,2,Mushrooms
Florida,night owl,Dog,Summer,2,Pepperoni
Massachusetts,night owl,Dog,Summer,3.5,Pineapple
Pennsylvania,early bird,Bunny,Fall,4,mushroom/onions/peppers
Massachusetts,no preference,Cat,Fall,2.5,Pepperoni
Wisconsin,no preference,Dog,Summer,5,Sausage
NJ,no preference,Dog,Winter,1,none (just cheese)
"Madison , WI",night owl,Fish,Fall,1,Pepperoni
Wisconsin,night owl,Dog,Summer,11,Chicken & Veggies 
Wisconsin,no preference,Dog,Summer,6.5,Pineapple
WA,no preference,Cat,Summer,2,Pineapple
Wisconsin,night owl,Dog,Summer,30,Sausage
Wisconsin,early bird,Dog,Fall,18,Bacon
MA,early bird,None,Fall,2,Spinach/Arugula
MA,night owl,Dog,Summer,0.5,MacNCheese
Wisconsin,night owl,Dog,Summer,5.7,Pepperoni
Connecticut,no preference,Cat,Spring,2,Chicken and Beef
Florida,night owl,Dog,Summer,4,Pepperoni
Wisconsin,early bird,Dog,Spring,4,Pineapple
Wisconsin,no preference,None,Fall,7,olives
,early bird,None,Fall,20,Pepperoni
MA,night owl,Dog,Winter,1.5,Pepperoni